var_idx,iter_idx,seed,csv,isi_dist,iti_dist,isi_lo,isi_hi,iti_lo,iti_hi,isi_shape,iti_shape,enc_raw_max_worst,enc_raw_p95_worst,enc_raw_mean,enc_part_max_worst,enc_part_p95_worst,enc_part_mean,dec_raw_max_worst,dec_raw_p95_worst,dec_raw_mean,dec_part_max_worst,dec_part_p95_worst,dec_part_mean,fb_raw_max_worst,fb_raw_p95_worst,fb_raw_mean,fb_part_max_worst,fb_part_p95_worst,fb_part_mean,all_max_worst,all_p95_worst,all_mean,cov_chi2,cov_minbin,cov_chi2_worst,cov_minbin_worst,coll_max,coll_p95,coll_max_worst,coll_p95_worst,coll_enc_max,coll_enc_p95,coll_dec_max,coll_dec_p95,coll_fb_max,coll_fb_p95,enc_part_nuked_n_worst,enc_part_nuked_frac_worst,enc_part_nuked_frac_mean,coll_enc_max_worst,coll_enc_p95_worst,coll_dec_max_worst,coll_dec_p95_worst,coll_fb_max_worst,coll_fb_p95_worst,stage1_obj
0,0,0,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0000_iter0000_d000000.csv,uniform,uniform,0.8821770123928727,1.340942760401628,1.0491682287234336,1.8681887567937443,0.25,0.25,0.2527136206563485,0.15077874422931728,0.04163706360167397,0.2358437805147574,0.15177617833382756,0.042040470629405975,0.24187795915057309,0.1508272870734369,0.04209266299759096,0.24210961583270404,0.15448827697271228,0.04220178928022258,0.2338146591256217,0.1461177900840565,0.04093906826435278,0.23772259062924483,0.14798811081790705,0.04111186716246203,0.7816046828089804,0.19732492184872055,0.05794764433990201,13.199999999999998,0.0,13.199999999999998,0.0,0.7816046828089804,0.19732492184872055,0.7816046828089804,0.19732492184872055,0.2358437805147574,0.15177617833382756,0.24210961583270404,0.15448827697271228,0.23772259062924483,0.14798811081790705,0.0,0.0,0.0,0.2358437805147574,0.15177617833382756,0.24210961583270404,0.15448827697271228,0.23772259062924483,0.14798811081790705,1013.7881272632533
0,1,1,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0000_iter0001_d000001.csv,uniform,uniform,0.8821770123928727,1.340942760401628,1.0491682287234336,1.8681887567937443,0.25,0.25,0.24900653777403722,0.15058141771309028,0.04178487501373047,0.2447356381617347,0.15166340680821933,0.042346830094023034,0.2482787041425849,0.15051475418336782,0.042188430304444885,0.25073137746592755,0.15622517316904752,0.04246441555163143,0.23226555167678112,0.14751309513579083,0.041022769513996325,0.23624663539209315,0.15034828425585103,0.04136093388331986,0.7789550831121469,0.19954410260109148,0.058343581048122574,18.800000000000004,0.0,18.800000000000004,0.0,0.7789550831121469,0.19954410260109148,0.7789550831121469,0.19954410260109148,0.2447356381617347,0.15166340680821933,0.25073137746592755,0.15622517316904752,0.23624663539209315,0.15034828425585103,0.0,0.0,0.0,0.2447356381617347,0.15166340680821933,0.25073137746592755,0.15622517316904752,0.23624663539209315,0.15034828425585103,1019.3890216441571
0,2,2,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0000_iter0002_d000002.csv,uniform,uniform,0.8821770123928727,1.340942760401628,1.0491682287234336,1.8681887567937443,0.25,0.25,0.2482868238157933,0.14945490645645654,0.04184311270680704,0.23719578230772917,0.15277581426303574,0.042366367589385674,0.24313534041313684,0.15222866850880737,0.042259071205971034,0.24327829728695416,0.15427552462412963,0.042454631909277,0.2251274831866027,0.14904055624139445,0.04108322961096073,0.2337893946408035,0.14990383673353413,0.04139355098561693,0.7804865861846557,0.200599186828205,0.05839720712849852,14.0,0.0,14.0,0.0,0.7804865861846557,0.200599186828205,0.7804865861846557,0.200599186828205,0.23719578230772917,0.15277581426303574,0.24327829728695416,0.15427552462412963,0.2337893946408035,0.14990383673353413,0.0,0.0,0.0,0.23719578230772917,0.15277581426303574,0.24327829728695416,0.15427552462412963,0.2337893946408035,0.14990383673353413,1014.5908424799205
0,3,3,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0000_iter0003_d000003.csv,uniform,uniform,0.8821770123928727,1.340942760401628,1.0491682287234336,1.8681887567937443,0.25,0.25,0.2482868238157933,0.1520915594483518,0.04184498916341236,0.23996874507597443,0.1539352411281263,0.042230271954781164,0.23849072388816472,0.15449436973284647,0.0422769266252831,0.24029376335967167,0.1577075027593969,0.04247505598260173,0.2207427182199852,0.15070324694382958,0.04112825949941724,0.22550548963089823,0.15321656488836263,0.04134479798197312,0.782917009004044,0.19859168453197423,0.058520778922015404,13.200000000000001,0.0,13.200000000000001,0.0,0.782917009004044,0.19859168453197423,0.782917009004044,0.19859168453197423,0.23996874507597443,0.1539352411281263,0.24029376335967167,0.1577075027593969,0.22550548963089823,0.15321656488836263,0.0,0.0,0.0,0.23996874507597443,0.1539352411281263,0.24029376335967167,0.1577075027593969,0.22550548963089823,0.15321656488836263,1013.790050189034
0,4,4,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0000_iter0004_d000004.csv,uniform,uniform,0.8821770123928727,1.340942760401628,1.0491682287234336,1.8681887567937443,0.25,0.25,0.25681487835690997,0.15078082822416633,0.04160806429990919,0.23445464394111087,0.15215643686747732,0.042033867501202755,0.2391459327406608,0.1514375628534186,0.04203723270554938,0.2436941751480437,0.15532430245076428,0.042141618794590725,0.2365869124185371,0.14726298533233945,0.04085811484128585,0.24148006324341592,0.1504533501560621,0.04103398586909248,0.7766413385799447,0.1971695087777507,0.05798210574080045,10.8,0.0,10.8,0.0,0.7766413385799447,0.1971695087777507,0.7766413385799447,0.1971695087777507,0.23445464394111087,0.15215643686747732,0.2436941751480437,0.15532430245076428,0.24148006324341592,0.1504533501560621,0.0,0.0,0.0,0.23445464394111087,0.15215643686747732,0.2436941751480437,0.15532430245076428,0.24148006324341592,0.1504533501560621,1011.3854901780677
1,0,100000,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0001_iter0000_d000005.csv,uniform,uniform,0.9879621435201635,1.4902253218883752,1.727962930920616,2.8723123494709926,0.25,0.25,0.3088956567179598,0.17993363486101405,0.04054468847365949,0.3087748629174367,0.18598800878357347,0.04183548735861626,0.30606923662637203,0.17486968465436595,0.04116156167167978,0.309072365059422,0.18145083971506532,0.0426875013923799,0.29044687199250335,0.171741843515731,0.03997939365101887,0.2909897585956794,0.17517476274546295,0.04141542917896715,0.6871647238330474,0.19620518891334232,0.050960668828229555,19.599999999999998,0.0,19.599999999999998,0.0,0.6871647238330474,0.19620518891334232,0.6871647238330474,0.19620518891334232,0.3087748629174367,0.18598800878357347,0.309072365059422,0.18145083971506532,0.2909897585956794,0.17517476274546295,0.0,0.0,0.0,0.3087748629174367,0.18598800878357347,0.309072365059422,0.18145083971506532,0.2909897585956794,0.17517476274546295,1020.1397875508299
1,1,100001,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0001_iter0001_d000006.csv,uniform,uniform,0.9879621435201635,1.4902253218883752,1.727962930920616,2.8723123494709926,0.25,0.25,0.30621274461257897,0.17633267129325578,0.04051771371700284,0.3077162836506916,0.17739922826896576,0.04179841351899586,0.2993801613264288,0.17193376200453844,0.04113192823295415,0.30303715392510194,0.17604595579503465,0.042622654284825874,0.2779500446161256,0.17850892577490474,0.03994104535885118,0.2813296472769217,0.17926280257958932,0.041397205230028364,0.7022711966051737,0.19687330539972459,0.05083425995736182,22.0,0.0,22.0,0.0,0.7022711966051737,0.19687330539972459,0.7022711966051737,0.19687330539972459,0.3077162836506916,0.17739922826896576,0.30303715392510194,0.17604595579503465,0.2813296472769217,0.17926280257958932,0.0,0.0,0.0,0.3077162836506916,0.17739922826896576,0.30303715392510194,0.17604595579503465,0.2813296472769217,0.17926280257958932,1022.5480089037023
1,2,100002,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0001_iter0002_d000007.csv,uniform,uniform,0.9879621435201635,1.4902253218883752,1.727962930920616,2.8723123494709926,0.25,0.25,0.3012806652953849,0.1751910382296925,0.04044702921585203,0.29358063592330047,0.182471490524134,0.04163757664580518,0.2983532338225706,0.1755204969177354,0.04107001023374592,0.2994075623898527,0.17716256771403466,0.04244977483192286,0.2766139187846866,0.17475931578821127,0.03987700094338289,0.27633762083805025,0.17748762993205436,0.04120876915214968,0.7006664812362026,0.19707687104353064,0.050713023448378275,21.199999999999996,0.0,21.199999999999996,0.0,0.7006664812362026,0.19707687104353064,0.7006664812362026,0.19707687104353064,0.29358063592330047,0.182471490524134,0.2994075623898527,0.17716256771403466,0.27633762083805025,0.17748762993205436,0.0,0.0,0.0,0.29358063592330047,0.182471490524134,0.2994075623898527,0.17716256771403466,0.27633762083805025,0.17748762993205436,1021.7474101116617
1,3,100003,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0001_iter0003_d000008.csv,uniform,uniform,0.9879621435201635,1.4902253218883752,1.727962930920616,2.8723123494709926,0.25,0.25,0.3140761354679503,0.1777754573743314,0.04040456350164593,0.3114385312803706,0.18177303337239323,0.04156626426946517,0.2989767462172851,0.17897704410520307,0.04105912865394748,0.3018140530010172,0.1819162031031963,0.042440606354270716,0.28374591521940085,0.17721168553043024,0.03985736423654044,0.28679315931037425,0.18013828129059856,0.041192170293311924,0.6862906550947377,0.19799232757105267,0.050750689422108,22.799999999999997,0.0,22.799999999999997,0.0,0.6862906550947377,0.19799232757105267,0.6862906550947377,0.19799232757105267,0.3114385312803706,0.18177303337239323,0.3018140530010172,0.1819162031031963,0.28679315931037425,0.18013828129059856,0.0,0.0,0.0,0.3114385312803706,0.18177303337239323,0.3018140530010172,0.1819162031031963,0.28679315931037425,0.18013828129059856,1023.3411376551184
1,4,100004,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0001_iter0004_d000009.csv,uniform,uniform,0.9879621435201635,1.4902253218883752,1.727962930920616,2.8723123494709926,0.25,0.25,0.3095244715783432,0.1752965809905352,0.040613782728346516,0.30857493228798355,0.1773306284284593,0.04177828983775866,0.3024894432278062,0.17358708539846202,0.04127975580587356,0.3055007360670062,0.17430662330752808,0.04271875873638877,0.28219635431581885,0.17705594628769694,0.04009683848384563,0.28519114919571575,0.17732348118755706,0.041381400207753126,0.7063790735831014,0.19726866016230546,0.05111599939757874,19.6,0.0,19.6,0.0,0.7063790735831014,0.19726866016230546,0.7063790735831014,0.19726866016230546,0.30857493228798355,0.1773306284284593,0.3055007360670062,0.17430662330752808,0.28519114919571575,0.17732348118755706,0.0,0.0,0.0,0.30857493228798355,0.1773306284284593,0.3055007360670062,0.17430662330752808,0.28519114919571575,0.17732348118755706,1020.1504581969539
