var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter
86,20,1016.4050929974703,1023.5679248351087,1028.1226556756005,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0286_iter0001_d001431.csv,1
175,20,1016.4264855778268,1021.8930598308611,1024.7854505111,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0375_iter0001_d001876.csv,1
85,20,1016.440846114431,1019.441933948817,1021.7589981236225,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0085_iter0001_d000426.csv,1
147,20,1016.4705051334907,1026.5083994849738,1026.5599023789741,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0347_iter0003_d002738.csv,3
89,20,1016.487620177218,1022.5176752074563,1023.2803246812463,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0289_iter0003_d002448.csv,3
161,20,1016.4996495055639,1022.5111147365226,1024.9395750565768,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0361_iter0000_d003805.csv,0
117,20,1016.5004079221623,1021.7073772147311,1021.7345718148507,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0317_iter0003_d001588.csv,3
138,20,1016.5944596186131,1027.3832138089165,1028.8737069982928,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0338_iter0004_d003694.csv,4
94,20,1016.5965842392097,1022.7108975766677,1024.909530830188,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0294_iter0001_d001471.csv,1
24,20,1016.7775250830315,1024.3052868046645,1026.533298286902,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0224_iter0004_d003124.csv,4
74,20,1016.7781116324571,1022.6606950785235,1024.9742355198496,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0074_iter0002_d000372.csv,2
37,20,1016.7974074027785,1023.4497746279271,1024.9732367416739,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0237_iter0000_d002185.csv,0
150,20,1016.801638459871,1022.003169711101,1027.3657806091935,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0350_iter0002_d003752.csv,2
129,20,1016.8500067763865,1023.5622745158183,1028.878150140123,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0329_iter0000_d001645.csv,0
15,20,1016.8551753208087,1024.9830609671599,1024.9869710361315,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0215_iter0000_d001075.csv,0
156,20,1016.8812986641251,1022.6648973665957,1024.7938301186766,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0356_iter0000_d003780.csv,0
88,20,1016.9204284817877,1021.8489265227765,1023.3761541923293,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0288_iter0002_d001442.csv,2
55,20,1016.9388937388836,1025.8677932344494,1028.1915329200413,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0255_iter0000_d001275.csv,0
51,20,1016.9468917151792,1022.8307139686646,1030.5614333675305,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0251_iter0003_d001258.csv,3
73,20,1017.0013592456659,1023.2642553363163,1023.2653477516631,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0273_iter0000_d002365.csv,0
167,20,1017.0295471839734,1021.0269071907824,1023.3114189760817,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0367_iter0000_d002835.csv,0
