trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,event_type,fix_dur,fix_kind,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
0,1,,Fixation,,3.935957670211792,,,fixation,10.0,run_start,4.069058895111084,0.0,0.0,2.034529447555542,hidden,2.034529447555542,0.0,2.034529447555542,fixation,0.0
1,1,20.0,Medium,20_0.633_0.755.png,3.935957670211792,0.635,0.752,,,,8.030898332595825,8.005016326904297,1.0,1.4403244256973267,hidden,10.445341110229492,3.0,1.5905739068984985,fixation,1.0
2,1,3.0,Incongruent,3_0.408_0.429.png,3.935957670211792,0.414,0.435,,,,8.259643316268921,19.971872329711914,1.0,2.034529447555542,hidden,23.00640106201172,3.0,1.225113868713379,fixation,1.0
3,1,2.0,Incongruent,2_0.939_0.061.png,3.181704521179199,0.936,0.065,,,,8.247381687164307,32.16747283935547,1.0,2.034529447555542,hidden,35.202003479003906,3.0,1.2128522396087646,fixation,1.0
4,1,1.0,Medium,1_0.673_0.327.png,3.935957670211792,0.665,0.336,,,,9.069058895111084,43.596561431884766,1.0,2.034529447555542,hidden,46.63108825683594,3.0,2.034529447555542,fixation,1.0
5,1,9.0,Medium,9_0.204_0.000.png,3.935957670211792,0.214,0.0,,,,9.069058895111084,56.60157775878906,1.0,2.034529447555542,hidden,59.636104583740234,3.0,2.034529447555542,fixation,1.0
6,1,20.0,Medium,20_1.000_0.837.png,3.935957670211792,1.0,0.834,,,,9.069058895111084,69.6065902709961,1.0,2.034529447555542,hidden,72.64112091064453,3.0,2.034529447555542,fixation,1.0
7,1,3.0,Incongruent,3_0.449_0.388.png,3.8744306564331055,0.457,0.389,,,,9.069058895111084,82.61161041259766,1.0,2.034529447555542,hidden,85.6461410522461,3.0,2.034529447555542,fixation,1.0
8,1,2.0,Incongruent,2_0.612_0.204.png,3.453068256378174,0.613,0.206,,,,7.192252516746521,95.55509948730469,1.0,1.393531322479248,hidden,97.9486312866211,3.0,0.798721194267273,fixation,1.0
9,1,11.0,Congruent,11_0.327_0.980.png,3.2326924800872803,0.322,0.979,,,,9.069058895111084,106.2004165649414,1.0,2.034529447555542,hidden,109.23494720458984,3.0,2.034529447555542,fixation,1.0
10,1,22.0,Congruent,13b_0.755_0.673.png,3.935957670211792,0.751,0.683,,,,8.481626510620117,118.5021743774414,1.0,1.4470970630645752,hidden,120.94926452636719,3.0,2.034529447555542,fixation,1.0
11,1,1.0,Medium,1_0.939_0.347.png,3.935957670211792,0.944,0.345,,,,7.990405917167664,130.9197540283203,1.0,0.9558764696121216,hidden,132.87562561035156,3.0,2.034529447555542,fixation,1.0
12,1,18.0,Incongruent,18_0.347_0.041.png,3.935957670211792,0.34,0.045,,,,8.041395664215088,142.8461151123047,1.0,2.034529447555542,hidden,145.88064575195312,3.0,1.006866216659546,fixation,1.0
13,1,22.0,Congruent,13b_0.694_0.612.png,3.935957670211792,0.689,0.604,,,,8.30122995376587,154.82347106933594,1.0,1.2667005062103271,hidden,157.09017944335938,3.0,2.034529447555542,fixation,1.0
14,1,8.0,Congruent,8_0.878_0.939.png,2.9716439247131348,0.887,0.948,,,,8.904799103736877,167.06065368652344,1.0,1.8702696561813354,hidden,169.93092346191406,3.0,2.034529447555542,fixation,1.0
15,1,1.0,Medium,1_0.714_0.551.png,3.6485536098480225,0.717,0.552,,,,9.069058895111084,178.93710327148438,1.0,2.034529447555542,hidden,181.9716339111328,3.0,2.034529447555542,fixation,1.0
16,1,3.0,Incongruent,3_0.408_0.245.png,3.4204230308532715,0.415,0.25,,,,7.94330108165741,191.6547088623047,1.0,0.9087716341018677,hidden,193.56349182128906,3.0,2.034529447555542,fixation,1.0
17,1,18.0,Incongruent,18_0.224_0.551.png,3.935957670211792,0.218,0.554,,,,7.758156061172485,203.0184326171875,1.0,1.745086669921875,hidden,205.76351928710938,3.0,1.0130693912506104,fixation,1.0
18,1,11.0,Congruent,11_0.612_0.755.png,3.935957670211792,0.615,0.751,,,,7.886472523212433,214.71255493164062,1.0,0.8519430756568909,hidden,216.5644989013672,3.0,2.034529447555542,fixation,1.0
19,1,9.0,Medium,9_0.408_0.204.png,3.1221039295196533,0.405,0.202,,,,9.069058895111084,226.5349884033203,1.0,2.034529447555542,hidden,229.56951904296875,3.0,2.034529447555542,fixation,1.0
20,1,8.0,Congruent,8_0.796_0.367.png,3.935957670211792,0.79,0.362,,,,7.375853657722473,238.7261505126953,1.0,1.189877986907959,hidden,240.91603088378906,3.0,1.1859756708145142,fixation,1.0
21,1,18.0,Incongruent,18_0.367_0.612.png,3.935957670211792,0.367,0.622,,,,8.854929327964783,250.0379638671875,1.0,1.8203998804092407,hidden,252.8583526611328,3.0,2.034529447555542,fixation,1.0
22,1,9.0,Medium,9_0.184_0.837.png,3.0380008220672607,0.175,0.84,,,,7.878396093845367,262.828857421875,1.0,0.8438666462898254,hidden,264.6726989746094,3.0,2.034529447555542,fixation,1.0
23,1,22.0,Congruent,13b_1.000_0.714.png,3.935957670211792,1.0,0.706,,,,7.929582297801971,273.7452392578125,1.0,1.9842517375946045,hidden,276.7294921875,3.0,0.9453305602073669,fixation,1.0
24,1,8.0,Congruent,8_1.000_0.755.png,3.935957670211792,1.0,0.756,,,,7.499903202056885,285.61077880859375,1.0,1.1476860046386719,hidden,287.7584533691406,3.0,1.352217197418213,fixation,1.0
