var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter,best_stage1_obj
1870,1,1011.7335374335106,1011.7335374335106,1011.7335374335106,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1870_iter0000_d001870.csv,0,1011.7335374335106
2380,1,1011.7339457982397,1011.7339457982397,1011.7339457982397,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2380_iter0000_d002380.csv,0,1011.7339457982397
456,1,1011.7359848138002,1011.7359848138002,1011.7359848138002,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0456_iter0000_d000456.csv,0,1011.7359848138002
2168,1,1011.7397285149143,1011.7397285149143,1011.7397285149143,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2168_iter0000_d002168.csv,0,1011.7397285149143
1853,1,1011.7466775319288,1011.7466775319288,1011.7466775319288,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1853_iter0000_d001853.csv,0,1011.7466775319288
601,1,1011.7525616175485,1011.7525616175485,1011.7525616175485,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0601_iter0000_d000601.csv,0,1011.7525616175485
1822,1,1011.76536022398,1011.76536022398,1011.76536022398,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1822_iter0000_d001822.csv,0,1011.76536022398
2387,1,1011.7726650136948,1011.7726650136948,1011.7726650136948,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2387_iter0000_d002387.csv,0,1011.7726650136948
1643,1,1011.7813507001275,1011.7813507001275,1011.7813507001275,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1643_iter0000_d001643.csv,0,1011.7813507001275
1330,1,1011.7985144262258,1011.7985144262258,1011.7985144262258,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1330_iter0000_d001330.csv,0,1011.7985144262258
1523,1,1011.7989261752961,1011.7989261752961,1011.7989261752961,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1523_iter0000_d001523.csv,0,1011.7989261752961
482,1,1011.7998606919625,1011.7998606919625,1011.7998606919625,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0482_iter0000_d000482.csv,0,1011.7998606919625
116,1,1011.8205333863305,1011.8205333863305,1011.8205333863305,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0116_iter0000_d000116.csv,0,1011.8205333863305
169,1,1011.823219814205,1011.823219814205,1011.823219814205,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0169_iter0000_d000169.csv,0,1011.823219814205
310,1,1011.8245961158102,1011.8245961158102,1011.8245961158102,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0310_iter0000_d000310.csv,0,1011.8245961158102
682,1,1011.8249500629676,1011.8249500629676,1011.8249500629676,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0682_iter0000_d000682.csv,0,1011.8249500629676
677,1,1011.8265894311656,1011.8265894311656,1011.8265894311656,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0677_iter0000_d000677.csv,0,1011.8265894311656
270,1,1011.8266980290282,1011.8266980290282,1011.8266980290282,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0270_iter0000_d000270.csv,0,1011.8266980290282
197,1,1011.8330308446428,1011.8330308446428,1011.8330308446428,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0197_iter0000_d000197.csv,0,1011.8330308446428
370,1,1011.8355933134039,1011.8355933134039,1011.8355933134039,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0370_iter0000_d000370.csv,0,1011.8355933134039
2179,1,1012.286321862288,1012.286321862288,1012.286321862288,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2179_iter0000_d002179.csv,0,1012.286321862288
2139,1,1012.3026358695618,1012.3026358695618,1012.3026358695618,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2139_iter0000_d002139.csv,0,1012.3026358695618
2236,1,1012.3336099277647,1012.3336099277647,1012.3336099277647,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2236_iter0000_d002236.csv,0,1012.3336099277647
1045,1,1012.4133289155973,1012.4133289155973,1012.4133289155973,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1045_iter0000_d001045.csv,0,1012.4133289155973
1807,1,1012.4801244051027,1012.4801244051027,1012.4801244051027,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1807_iter0000_d001807.csv,0,1012.4801244051027
1959,1,1012.4813863926357,1012.4813863926357,1012.4813863926357,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1959_iter0000_d001959.csv,0,1012.4813863926357
2131,1,1012.4820190360358,1012.4820190360358,1012.4820190360358,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2131_iter0000_d002131.csv,0,1012.4820190360358
2292,1,1012.4856589676597,1012.4856589676597,1012.4856589676597,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2292_iter0000_d002292.csv,0,1012.4856589676597
1379,1,1012.492368839908,1012.492368839908,1012.492368839908,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1379_iter0000_d001379.csv,0,1012.492368839908
1084,1,1012.4944962502242,1012.4944962502242,1012.4944962502242,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1084_iter0000_d001084.csv,0,1012.4944962502242
1256,1,1012.4988999656028,1012.4988999656028,1012.4988999656028,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1256_iter0000_d001256.csv,0,1012.4988999656028
1044,1,1012.4994625380433,1012.4994625380433,1012.4994625380433,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1044_iter0000_d001044.csv,0,1012.4994625380433
881,1,1012.5092930023434,1012.5092930023434,1012.5092930023434,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0881_iter0000_d000881.csv,0,1012.5092930023434
880,1,1012.51987044268,1012.51987044268,1012.51987044268,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0880_iter0000_d000880.csv,0,1012.51987044268
1633,1,1012.5247569388506,1012.5247569388506,1012.5247569388506,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1633_iter0000_d001633.csv,0,1012.5247569388506
1641,1,1012.528437832608,1012.528437832608,1012.528437832608,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1641_iter0000_d001641.csv,0,1012.528437832608
1369,1,1012.5314103187256,1012.5314103187256,1012.5314103187256,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1369_iter0000_d001369.csv,0,1012.5314103187256
1728,1,1012.5370002130454,1012.5370002130454,1012.5370002130454,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1728_iter0000_d001728.csv,0,1012.5370002130454
1384,1,1012.5392085290283,1012.5392085290283,1012.5392085290283,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1384_iter0000_d001384.csv,0,1012.5392085290283
544,1,1012.5431859426094,1012.5431859426094,1012.5431859426094,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0544_iter0000_d000544.csv,0,1012.5431859426094
2196,1,1012.5445473067081,1012.5445473067081,1012.5445473067081,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2196_iter0000_d002196.csv,0,1012.5445473067081
1593,1,1012.5456884220077,1012.5456884220077,1012.5456884220077,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1593_iter0000_d001593.csv,0,1012.5456884220077
2377,1,1012.5461736291544,1012.5461736291544,1012.5461736291544,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2377_iter0000_d002377.csv,0,1012.5461736291544
1490,1,1012.5491519915149,1012.5491519915149,1012.5491519915149,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1490_iter0000_d001490.csv,0,1012.5491519915149
2298,1,1012.5637085032557,1012.5637085032557,1012.5637085032557,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2298_iter0000_d002298.csv,0,1012.5637085032557
1314,1,1012.5756113572768,1012.5756113572768,1012.5756113572768,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1314_iter0000_d001314.csv,0,1012.5756113572768
1964,1,1012.5758929570181,1012.5758929570181,1012.5758929570181,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1964_iter0000_d001964.csv,0,1012.5758929570181
1759,1,1012.5807520786624,1012.5807520786624,1012.5807520786624,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1759_iter0000_d001759.csv,0,1012.5807520786624
2273,1,1012.582628697549,1012.582628697549,1012.582628697549,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2273_iter0000_d002273.csv,0,1012.582628697549
1978,1,1012.5851734106342,1012.5851734106342,1012.5851734106342,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1978_iter0000_d001978.csv,0,1012.5851734106342
1355,1,1012.585767595973,1012.585767595973,1012.585767595973,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1355_iter0000_d001355.csv,0,1012.585767595973
1015,1,1012.5900479154199,1012.5900479154199,1012.5900479154199,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1015_iter0000_d001015.csv,0,1012.5900479154199
1621,1,1012.5909189972457,1012.5909189972457,1012.5909189972457,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1621_iter0000_d001621.csv,0,1012.5909189972457
1211,1,1012.5991000338822,1012.5991000338822,1012.5991000338822,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1211_iter0000_d001211.csv,0,1012.5991000338822
518,1,1012.6055788803681,1012.6055788803681,1012.6055788803681,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0518_iter0000_d000518.csv,0,1012.6055788803681
473,1,1012.6142730596983,1012.6142730596983,1012.6142730596983,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0473_iter0000_d000473.csv,0,1012.6142730596983
639,1,1012.6285704737312,1012.6285704737312,1012.6285704737312,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0639_iter0000_d000639.csv,0,1012.6285704737312
591,1,1012.6327337156139,1012.6327337156139,1012.6327337156139,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0591_iter0000_d000591.csv,0,1012.6327337156139
354,1,1012.633412705897,1012.633412705897,1012.633412705897,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0354_iter0000_d000354.csv,0,1012.633412705897
704,1,1012.6339843533096,1012.6339843533096,1012.6339843533096,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0704_iter0000_d000704.csv,0,1012.6339843533096
674,1,1012.6347409214541,1012.6347409214541,1012.6347409214541,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0674_iter0000_d000674.csv,0,1012.6347409214541
1,1,1012.6386218589113,1012.6386218589113,1012.6386218589113,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0001_iter0000_d000001.csv,0,1012.6386218589113
369,1,1012.6402567595043,1012.6402567595043,1012.6402567595043,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0369_iter0000_d000369.csv,0,1012.6402567595043
1343,1,1012.640447858597,1012.640447858597,1012.640447858597,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1343_iter0000_d001343.csv,0,1012.640447858597
1587,1,1012.6414356750786,1012.6414356750786,1012.6414356750786,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1587_iter0000_d001587.csv,0,1012.6414356750786
1232,1,1012.6430606015102,1012.6430606015102,1012.6430606015102,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1232_iter0000_d001232.csv,0,1012.6430606015102
119,1,1012.6433226562345,1012.6433226562345,1012.6433226562345,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0119_iter0000_d000119.csv,0,1012.6433226562345
1565,1,1012.6440640100686,1012.6440640100686,1012.6440640100686,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1565_iter0000_d001565.csv,0,1012.6440640100686
468,1,1012.646907214003,1012.646907214003,1012.646907214003,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0468_iter0000_d000468.csv,0,1012.646907214003
28,1,1012.6497126739633,1012.6497126739633,1012.6497126739633,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0028_iter0000_d000028.csv,0,1012.6497126739633
382,1,1012.649935474127,1012.649935474127,1012.649935474127,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0382_iter0000_d000382.csv,0,1012.649935474127
347,1,1012.6502635185013,1012.6502635185013,1012.6502635185013,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0347_iter0000_d000347.csv,0,1012.6502635185013
255,1,1012.6509117355095,1012.6509117355095,1012.6509117355095,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0255_iter0000_d000255.csv,0,1012.6509117355095
113,1,1012.6509424335904,1012.6509424335904,1012.6509424335904,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0113_iter0000_d000113.csv,0,1012.6509424335904
1291,1,1012.6513531082647,1012.6513531082647,1012.6513531082647,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1291_iter0000_d001291.csv,0,1012.6513531082647
687,1,1012.6558039065892,1012.6558039065892,1012.6558039065892,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0687_iter0000_d000687.csv,0,1012.6558039065892
111,1,1012.6562222711531,1012.6562222711531,1012.6562222711531,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0111_iter0000_d000111.csv,0,1012.6562222711531
649,1,1012.6567232075424,1012.6567232075424,1012.6567232075424,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0649_iter0000_d000649.csv,0,1012.6567232075424
340,1,1012.6605224965551,1012.6605224965551,1012.6605224965551,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0340_iter0000_d000340.csv,0,1012.6605224965551
73,1,1012.663578324337,1012.663578324337,1012.663578324337,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0073_iter0000_d000073.csv,0,1012.663578324337
167,1,1012.6688772080607,1012.6688772080607,1012.6688772080607,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0167_iter0000_d000167.csv,0,1012.6688772080607
24,1,1012.674036921661,1012.674036921661,1012.674036921661,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0024_iter0000_d000024.csv,0,1012.674036921661
2296,1,1013.136334070682,1013.136334070682,1013.136334070682,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2296_iter0000_d002296.csv,0,1013.136334070682
2268,1,1013.1643498630277,1013.1643498630277,1013.1643498630277,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2268_iter0000_d002268.csv,0,1013.1643498630277
2183,1,1013.1694764355424,1013.1694764355424,1013.1694764355424,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2183_iter0000_d002183.csv,0,1013.1694764355424
2157,1,1013.2293025542534,1013.2293025542534,1013.2293025542534,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2157_iter0000_d002157.csv,0,1013.2293025542534
2006,1,1013.2411796309583,1013.2411796309583,1013.2411796309583,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2006_iter0000_d002006.csv,0,1013.2411796309583
1016,1,1013.2624503979791,1013.2624503979791,1013.2624503979791,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1016_iter0000_d001016.csv,0,1013.2624503979791
2270,1,1013.2764773580496,1013.2764773580496,1013.2764773580496,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2270_iter0000_d002270.csv,0,1013.2764773580496
