rank_stage1,var_idx,best_iter,stage1_obj,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,csv
42,1822,0,1011.76536022398,1011.76536022398,1011.76536022398,1011.76536022398,design_optimisation\optim_out_v4_1\designs\cand_rank0042.csv
43,2387,0,1011.7726650136948,1011.7726650136948,1011.7726650136948,1011.7726650136948,design_optimisation\optim_out_v4_1\designs\cand_rank0043.csv
44,1643,0,1011.7813507001275,1011.7813507001275,1011.7813507001275,1011.7813507001275,design_optimisation\optim_out_v4_1\designs\cand_rank0044.csv
45,1330,0,1011.7985144262258,1011.7985144262258,1011.7985144262258,1011.7985144262258,design_optimisation\optim_out_v4_1\designs\cand_rank0045.csv
46,1523,0,1011.7989261752961,1011.7989261752961,1011.7989261752961,1011.7989261752961,design_optimisation\optim_out_v4_1\designs\cand_rank0046.csv
47,482,0,1011.7998606919625,1011.7998606919625,1011.7998606919625,1011.7998606919625,design_optimisation\optim_out_v4_1\designs\cand_rank0047.csv
48,116,0,1011.8205333863305,1011.8205333863305,1011.8205333863305,1011.8205333863305,design_optimisation\optim_out_v4_1\designs\cand_rank0048.csv
49,169,0,1011.823219814205,1011.823219814205,1011.823219814205,1011.823219814205,design_optimisation\optim_out_v4_1\designs\cand_rank0049.csv
50,310,0,1011.8245961158102,1011.8245961158102,1011.8245961158102,1011.8245961158102,design_optimisation\optim_out_v4_1\designs\cand_rank0050.csv
51,682,0,1011.8249500629676,1011.8249500629676,1011.8249500629676,1011.8249500629676,design_optimisation\optim_out_v4_1\designs\cand_rank0051.csv
52,677,0,1011.8265894311656,1011.8265894311656,1011.8265894311656,1011.8265894311656,design_optimisation\optim_out_v4_1\designs\cand_rank0052.csv
53,270,0,1011.8266980290282,1011.8266980290282,1011.8266980290282,1011.8266980290282,design_optimisation\optim_out_v4_1\designs\cand_rank0053.csv
54,197,0,1011.8330308446428,1011.8330308446428,1011.8330308446428,1011.8330308446428,design_optimisation\optim_out_v4_1\designs\cand_rank0054.csv
55,370,0,1011.8355933134039,1011.8355933134039,1011.8355933134039,1011.8355933134039,design_optimisation\optim_out_v4_1\designs\cand_rank0055.csv
56,2179,0,1012.286321862288,1012.286321862288,1012.286321862288,1012.286321862288,design_optimisation\optim_out_v4_1\designs\cand_rank0056.csv
57,2139,0,1012.3026358695618,1012.3026358695618,1012.3026358695618,1012.3026358695618,design_optimisation\optim_out_v4_1\designs\cand_rank0057.csv
58,2236,0,1012.3336099277647,1012.3336099277647,1012.3336099277647,1012.3336099277647,design_optimisation\optim_out_v4_1\designs\cand_rank0058.csv
59,1045,0,1012.4133289155973,1012.4133289155973,1012.4133289155973,1012.4133289155973,design_optimisation\optim_out_v4_1\designs\cand_rank0059.csv
60,1807,0,1012.4801244051027,1012.4801244051027,1012.4801244051027,1012.4801244051027,design_optimisation\optim_out_v4_1\designs\cand_rank0060.csv
61,1959,0,1012.4813863926357,1012.4813863926357,1012.4813863926357,1012.4813863926357,design_optimisation\optim_out_v4_1\designs\cand_rank0061.csv
62,2131,0,1012.4820190360358,1012.4820190360358,1012.4820190360358,1012.4820190360358,design_optimisation\optim_out_v4_1\designs\cand_rank0062.csv
63,2292,0,1012.4856589676597,1012.4856589676597,1012.4856589676597,1012.4856589676597,design_optimisation\optim_out_v4_1\designs\cand_rank0063.csv
64,1379,0,1012.492368839908,1012.492368839908,1012.492368839908,1012.492368839908,design_optimisation\optim_out_v4_1\designs\cand_rank0064.csv
65,1084,0,1012.4944962502242,1012.4944962502242,1012.4944962502242,1012.4944962502242,design_optimisation\optim_out_v4_1\designs\cand_rank0065.csv
66,1256,0,1012.4988999656028,1012.4988999656028,1012.4988999656028,1012.4988999656028,design_optimisation\optim_out_v4_1\designs\cand_rank0066.csv
67,1044,0,1012.4994625380433,1012.4994625380433,1012.4994625380433,1012.4994625380433,design_optimisation\optim_out_v4_1\designs\cand_rank0067.csv
68,881,0,1012.5092930023434,1012.5092930023434,1012.5092930023434,1012.5092930023434,design_optimisation\optim_out_v4_1\designs\cand_rank0068.csv
69,880,0,1012.51987044268,1012.51987044268,1012.51987044268,1012.51987044268,design_optimisation\optim_out_v4_1\designs\cand_rank0069.csv
70,1633,0,1012.5247569388506,1012.5247569388506,1012.5247569388506,1012.5247569388506,design_optimisation\optim_out_v4_1\designs\cand_rank0070.csv
71,1641,0,1012.528437832608,1012.528437832608,1012.528437832608,1012.528437832608,design_optimisation\optim_out_v4_1\designs\cand_rank0071.csv
72,1369,0,1012.5314103187256,1012.5314103187256,1012.5314103187256,1012.5314103187256,design_optimisation\optim_out_v4_1\designs\cand_rank0072.csv
73,1728,0,1012.5370002130454,1012.5370002130454,1012.5370002130454,1012.5370002130454,design_optimisation\optim_out_v4_1\designs\cand_rank0073.csv
74,1384,0,1012.5392085290283,1012.5392085290283,1012.5392085290283,1012.5392085290283,design_optimisation\optim_out_v4_1\designs\cand_rank0074.csv
75,544,0,1012.5431859426094,1012.5431859426094,1012.5431859426094,1012.5431859426094,design_optimisation\optim_out_v4_1\designs\cand_rank0075.csv
76,2196,0,1012.5445473067081,1012.5445473067081,1012.5445473067081,1012.5445473067081,design_optimisation\optim_out_v4_1\designs\cand_rank0076.csv
77,1593,0,1012.5456884220077,1012.5456884220077,1012.5456884220077,1012.5456884220077,design_optimisation\optim_out_v4_1\designs\cand_rank0077.csv
78,2377,0,1012.5461736291544,1012.5461736291544,1012.5461736291544,1012.5461736291544,design_optimisation\optim_out_v4_1\designs\cand_rank0078.csv
79,1490,0,1012.5491519915149,1012.5491519915149,1012.5491519915149,1012.5491519915149,design_optimisation\optim_out_v4_1\designs\cand_rank0079.csv
80,2298,0,1012.5637085032557,1012.5637085032557,1012.5637085032557,1012.5637085032557,design_optimisation\optim_out_v4_1\designs\cand_rank0080.csv
81,1314,0,1012.5756113572768,1012.5756113572768,1012.5756113572768,1012.5756113572768,design_optimisation\optim_out_v4_1\designs\cand_rank0081.csv
82,1964,0,1012.5758929570181,1012.5758929570181,1012.5758929570181,1012.5758929570181,design_optimisation\optim_out_v4_1\designs\cand_rank0082.csv
83,1759,0,1012.5807520786624,1012.5807520786624,1012.5807520786624,1012.5807520786624,design_optimisation\optim_out_v4_1\designs\cand_rank0083.csv
84,2273,0,1012.582628697549,1012.582628697549,1012.582628697549,1012.582628697549,design_optimisation\optim_out_v4_1\designs\cand_rank0084.csv
85,1978,0,1012.5851734106342,1012.5851734106342,1012.5851734106342,1012.5851734106342,design_optimisation\optim_out_v4_1\designs\cand_rank0085.csv
86,1355,0,1012.585767595973,1012.585767595973,1012.585767595973,1012.585767595973,design_optimisation\optim_out_v4_1\designs\cand_rank0086.csv
87,1015,0,1012.5900479154199,1012.5900479154199,1012.5900479154199,1012.5900479154199,design_optimisation\optim_out_v4_1\designs\cand_rank0087.csv
88,1621,0,1012.5909189972457,1012.5909189972457,1012.5909189972457,1012.5909189972457,design_optimisation\optim_out_v4_1\designs\cand_rank0088.csv
89,1211,0,1012.5991000338822,1012.5991000338822,1012.5991000338822,1012.5991000338822,design_optimisation\optim_out_v4_1\designs\cand_rank0089.csv
90,518,0,1012.6055788803681,1012.6055788803681,1012.6055788803681,1012.6055788803681,design_optimisation\optim_out_v4_1\designs\cand_rank0090.csv
91,473,0,1012.6142730596983,1012.6142730596983,1012.6142730596983,1012.6142730596983,design_optimisation\optim_out_v4_1\designs\cand_rank0091.csv
92,639,0,1012.6285704737312,1012.6285704737312,1012.6285704737312,1012.6285704737312,design_optimisation\optim_out_v4_1\designs\cand_rank0092.csv
93,591,0,1012.6327337156139,1012.6327337156139,1012.6327337156139,1012.6327337156139,design_optimisation\optim_out_v4_1\designs\cand_rank0093.csv
94,354,0,1012.633412705897,1012.633412705897,1012.633412705897,1012.633412705897,design_optimisation\optim_out_v4_1\designs\cand_rank0094.csv
95,704,0,1012.6339843533096,1012.6339843533096,1012.6339843533096,1012.6339843533096,design_optimisation\optim_out_v4_1\designs\cand_rank0095.csv
96,674,0,1012.6347409214541,1012.6347409214541,1012.6347409214541,1012.6347409214541,design_optimisation\optim_out_v4_1\designs\cand_rank0096.csv
97,1,0,1012.6386218589113,1012.6386218589113,1012.6386218589113,1012.6386218589113,design_optimisation\optim_out_v4_1\designs\cand_rank0097.csv
98,369,0,1012.6402567595043,1012.6402567595043,1012.6402567595043,1012.6402567595043,design_optimisation\optim_out_v4_1\designs\cand_rank0098.csv
99,1343,0,1012.640447858597,1012.640447858597,1012.640447858597,1012.640447858597,design_optimisation\optim_out_v4_1\designs\cand_rank0099.csv
100,1587,0,1012.6414356750786,1012.6414356750786,1012.6414356750786,1012.6414356750786,design_optimisation\optim_out_v4_1\designs\cand_rank0100.csv
101,1232,0,1012.6430606015102,1012.6430606015102,1012.6430606015102,1012.6430606015102,design_optimisation\optim_out_v4_1\designs\cand_rank0101.csv
102,119,0,1012.6433226562345,1012.6433226562345,1012.6433226562345,1012.6433226562345,design_optimisation\optim_out_v4_1\designs\cand_rank0102.csv
103,1565,0,1012.6440640100686,1012.6440640100686,1012.6440640100686,1012.6440640100686,design_optimisation\optim_out_v4_1\designs\cand_rank0103.csv
104,468,0,1012.646907214003,1012.646907214003,1012.646907214003,1012.646907214003,design_optimisation\optim_out_v4_1\designs\cand_rank0104.csv
105,28,0,1012.6497126739633,1012.6497126739633,1012.6497126739633,1012.6497126739633,design_optimisation\optim_out_v4_1\designs\cand_rank0105.csv
106,382,0,1012.649935474127,1012.649935474127,1012.649935474127,1012.649935474127,design_optimisation\optim_out_v4_1\designs\cand_rank0106.csv
107,347,0,1012.6502635185013,1012.6502635185013,1012.6502635185013,1012.6502635185013,design_optimisation\optim_out_v4_1\designs\cand_rank0107.csv
108,255,0,1012.6509117355095,1012.6509117355095,1012.6509117355095,1012.6509117355095,design_optimisation\optim_out_v4_1\designs\cand_rank0108.csv
109,113,0,1012.6509424335904,1012.6509424335904,1012.6509424335904,1012.6509424335904,design_optimisation\optim_out_v4_1\designs\cand_rank0109.csv
110,1291,0,1012.6513531082647,1012.6513531082647,1012.6513531082647,1012.6513531082647,design_optimisation\optim_out_v4_1\designs\cand_rank0110.csv
111,687,0,1012.6558039065892,1012.6558039065892,1012.6558039065892,1012.6558039065892,design_optimisation\optim_out_v4_1\designs\cand_rank0111.csv
112,111,0,1012.6562222711531,1012.6562222711531,1012.6562222711531,1012.6562222711531,design_optimisation\optim_out_v4_1\designs\cand_rank0112.csv
113,649,0,1012.6567232075424,1012.6567232075424,1012.6567232075424,1012.6567232075424,design_optimisation\optim_out_v4_1\designs\cand_rank0113.csv
114,340,0,1012.6605224965551,1012.6605224965551,1012.6605224965551,1012.6605224965551,design_optimisation\optim_out_v4_1\designs\cand_rank0114.csv
115,73,0,1012.663578324337,1012.663578324337,1012.663578324337,1012.663578324337,design_optimisation\optim_out_v4_1\designs\cand_rank0115.csv
116,167,0,1012.6688772080607,1012.6688772080607,1012.6688772080607,1012.6688772080607,design_optimisation\optim_out_v4_1\designs\cand_rank0116.csv
117,24,0,1012.674036921661,1012.674036921661,1012.674036921661,1012.674036921661,design_optimisation\optim_out_v4_1\designs\cand_rank0117.csv
118,2296,0,1013.136334070682,1013.136334070682,1013.136334070682,1013.136334070682,design_optimisation\optim_out_v4_1\designs\cand_rank0118.csv
119,2268,0,1013.1643498630277,1013.1643498630277,1013.1643498630277,1013.1643498630277,design_optimisation\optim_out_v4_1\designs\cand_rank0119.csv
120,2183,0,1013.1694764355424,1013.1694764355424,1013.1694764355424,1013.1694764355424,design_optimisation\optim_out_v4_1\designs\cand_rank0120.csv
121,2157,0,1013.2293025542534,1013.2293025542534,1013.2293025542534,1013.2293025542534,design_optimisation\optim_out_v4_1\designs\cand_rank0121.csv
122,2006,0,1013.2411796309583,1013.2411796309583,1013.2411796309583,1013.2411796309583,design_optimisation\optim_out_v4_1\designs\cand_rank0122.csv
123,1016,0,1013.2624503979791,1013.2624503979791,1013.2624503979791,1013.2624503979791,design_optimisation\optim_out_v4_1\designs\cand_rank0123.csv
124,2270,0,1013.2764773580496,1013.2764773580496,1013.2764773580496,1013.2764773580496,design_optimisation\optim_out_v4_1\designs\cand_rank0124.csv
125,1058,0,1013.2800937936871,1013.2800937936871,1013.2800937936871,1013.2800937936871,design_optimisation\optim_out_v4_1\designs\cand_rank0125.csv
126,1263,0,1013.2878390011135,1013.2878390011135,1013.2878390011135,1013.2878390011135,design_optimisation\optim_out_v4_1\designs\cand_rank0126.csv
127,1113,0,1013.2906479795377,1013.2906479795377,1013.2906479795377,1013.2906479795377,design_optimisation\optim_out_v4_1\designs\cand_rank0127.csv
128,1118,0,1013.2947634901989,1013.2947634901989,1013.2947634901989,1013.2947634901989,design_optimisation\optim_out_v4_1\designs\cand_rank0128.csv
129,1775,0,1013.3104911639965,1013.3104911639965,1013.3104911639965,1013.3104911639965,design_optimisation\optim_out_v4_1\designs\cand_rank0129.csv
130,828,0,1013.3122332135499,1013.3122332135499,1013.3122332135499,1013.3122332135499,design_optimisation\optim_out_v4_1\designs\cand_rank0130.csv
131,1744,0,1013.3130576083684,1013.3130576083684,1013.3130576083684,1013.3130576083684,design_optimisation\optim_out_v4_1\designs\cand_rank0131.csv
132,2084,0,1013.3162463586042,1013.3162463586042,1013.3162463586042,1013.3162463586042,design_optimisation\optim_out_v4_1\designs\cand_rank0132.csv
133,1466,0,1013.3191759538242,1013.3191759538242,1013.3191759538242,1013.3191759538242,design_optimisation\optim_out_v4_1\designs\cand_rank0133.csv
